[Epoch 117/3000] D Loss: 0.1600 | G Loss: 0.3710 | W Dist: 2.1797 | Aux MSE: 0.0000

[Epoch 118/3000] D Loss: -0.2880 | G Loss: 0.2402 | W Dist: 1.9926 | Aux MSE: 0.0000

[Epoch 119/3000] D Loss: -0.0604 | G Loss: 0.2200 | W Dist: 1.8841 | Aux MSE: 0.0000

[Epoch 120/3000] D Loss: 0.1984 | G Loss: 0.2964 | W Dist: 1.7096 | Aux MSE: 0.0000

[Epoch 121/3000] D Loss: -0.2639 | G Loss: 0.4487 | W Dist: 1.6485 | Aux MSE: 0.0000

[Epoch 122/3000] D Loss: -0.6082 | G Loss: 0.6584 | W Dist: 1.6860 | Aux MSE: 0.0000

[Epoch 123/3000] D Loss: -0.7376 | G Loss: 0.8592 | W Dist: 1.7211 | Aux MSE: 0.0001

[Epoch 124/3000] D Loss: -0.6832 | G Loss: 0.9783 | W Dist: 1.7564 | Aux MSE: 0.0010

[Epoch 125/3000] D Loss: -0.9357 | G Loss: 1.1116 | W Dist: 1.8755 | Aux MSE: 0.0003

[Epoch 126/3000] D Loss: -1.0365 | G Loss: 1.1922 | W Dist: 1.9125 | Aux MSE: 0.0003

[Epoch 127/3000] D Loss: -0.9387 | G Loss: 1.2500 | W Dist: 1.8734 | Aux MSE: 0.0002

[Epoch 128/3000] D Loss: -1.0676 | G Loss: 1.2483 | W Dist: 1.9629 | Aux MSE: 0.0002

[Epoch 129/3000] D Loss: -1.1128 | G Loss: 1.2754 | W Dist: 2.0623 | Aux MSE: 0.0002

[Epoch 130/3000] D Loss: -1.2463 | G Loss: 1.3810 | W Dist: 2.1800 | Aux MSE: 0.0001

[Epoch 131/3000] D Loss: -1.2442 | G Loss: 1.4362 | W Dist: 2.2018 | Aux MSE: 0.0001

[Epoch 132/3000] D Loss: -1.1894 | G Loss: 1.4579 | W Dist: 2.2071 | Aux MSE: 0.0001

[Epoch 133/3000] D Loss: -1.2056 | G Loss: 1.5202 | W Dist: 2.2318 | Aux MSE: 0.0001

